,HS,product_name,green_world_average,blue_world_average,grey_world_average
0,10111,"Horses, live pure-bred breeding",40317,1470,675
1,10119,"Horses, live except pure-bred breeding",40317,1470,675
2,10120,"Asses, mules and hinnies, live",40317,1470,675
3,10210,"Bovine, live pure-bred breeding",9197,192,106
4,10290,"Bovine, live except pure-bred breeding",9197,192,106
5,10310,"Swine, live pure-bred breeding",5037,264,416
6,10391,"Swine, live except pure-bred breeding weighing less than 50 kg",5037,264,416
7,10392,"Swine, live except pure-bred breeding weighing 50 kg or more",5037,264,416
8,10410,"Sheep, live",7126,168,9
9,10420,"Goats, live",5260,152,0
10,10511,"Fowls, live domestic weighing not more than 185 g",618,56,56
11,10519,"Poultry, live except domestic fowls, weighing not more than 185 g",6177,563,560
12,10599,"Poultry, live except domestic fowls, weighing more than 185 g",6177,563,560
13,20110,"Bovine carcasses and half carcasses, fresh or chilled",14996,328,172
14,20120,"Bovine cuts bone in, fresh or chilled",14996,328,172
15,20130,"Bovine cuts boneless, fresh or chilled",21121,465,243
16,20210,"Bovine carcasses and half carcasses, frozen",14996,328,172
17,20220,"Bovine cuts bone in, frozen",14996,328,172
18,20230,"Bovine cuts boneless, frozen",21121,465,243
19,20311,"Swine carcasses and half carcasses, fresh or chilled",5592,305,462
20,20312,"Hams, shoulders and cuts thereof, of swine bone in, fresh or chilled",7263,409,599
21,20319,"Swine cuts, fresh or chilled, nes",7660,431,632
22,20321,"Swine carcasses and half carcasses, frozen",5592,305,462
23,20322,"Hams, shoulders and cuts thereof, of swine, bone in, frozen",7263,409,599
24,20329,"Swine cuts, frozen nes",7660,431,632
25,20410,"Lamb carcasses and half carcasses, fresh or chilled",8342,208,11
26,20421,"Sheep carcasses and half carcasses, fresh or chilled",12696,317,16
27,20422,"Sheep cuts, bone in, fresh or chilled",12696,327,16
28,20423,"Sheep cuts, boneless, fresh or chilled",15870,421,20
29,20430,"Lamb carcasses and half carcasses, frozen",8342,208,11
30,20441,"Sheep carcasses and half carcasses, frozen",12696,317,16
31,20442,"Sheep cuts, bone in, frozen",12696,327,16
32,20443,"Sheep cuts, boneless, frozen",15870,421,20
33,20450,"Goat meat, fresh, chilled or frozen",9277,285,0
34,20500,"Horse, ass, mule or hinny meat, fresh, chilled or frozen",51364,1911,860
35,20610,"Bovine edible offal, fresh or chilled",13703,301,158
36,20621,"Bovine tongues, edible offal, frozen",32510,715,374
37,20622,"Bovine livers, edible offal, frozen",9576,211,110
38,20629,"Bovine edible offal, frozen nes",15530,342,179
39,20630,"Swine edible offal, fresh or chilled",1645,90,136
40,20641,"Swine livers, edible offal, frozen",898,49,74
41,20649,"Swine edible offal, frozen nes",1645,90,136
42,20680,"Sheep, goats, asses, mules or hinnies edible offal, fresh or chilled",4960,124,6
43,20690,"Sheep, goats, asses, mules or hinnies edible offal, frozen",4960,124,6
44,20900,"Pig fat lean meat free&poultry fat unrenderd,frsh,chilld,frozn or curd",7919,734,718
45,21011,"Hams, shoulders and cuts thereof, of swine bone in, cured",7411,422,612
46,21012,"Bellies, streaky and cuts thereof, swine cured",7817,445,645
47,21019,"Swine meat cured, nes",7989,443,659
48,21020,Bovine meat cured,32600,724,375
49,40110,Milk not concentrated and unsweetened not exceeding 1% fat,1087,56,49
50,40120,Milk not concentrated & unsweetened exceeding 1% not exceeding 6% fat,1123,58,50
51,40130,Milk and cream not concentrated and unsweetened exceeding 6% fat,2021,104,91
52,40210,Milk powder not exceeding 1.5% fat,5052,261,227
53,40221,Milk and cream powder unsweetened exceeding 1.5% fat,5052,261,227
54,40229,Milk and cream powder sweetened exceeding 1.5% fat,5052,271,227
55,40291,"Milk and cream unsweetened, nes",1680,87,75
56,40299,Milk and cream nes sweetened,2021,109,91
57,40310,"Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa",1263,65,57
58,40390,"Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes",1703,88,76
59,40410,Whey whether or not concentrated or sweetened,689,36,31
60,40490,Products consisting of natural milk constituents sweetened or not nes,1263,65,57
61,40510,Butter,5913,305,265
62,40610,"Cheese, fresh (including whey cheese) unfermented, and curd",3384,175,152
63,40620,"Cheese, grated or powdered, of all kinds",5371,293,241
64,40630,"Cheese processed, not grated or powdered",5371,293,241
65,40640,"Cheese, blue-veined",5371,293,241
66,40690,Cheese nes,5371,293,241
67,40700,"Eggs, bird, in shell, fresh, preserved or cooked",6781,418,446
68,40811,Egg yolks dried,13562,855,892
69,40819,Egg yolks nes,6781,423,446
70,40891,"Eggs, bird, not in shell, dried",10046,633,661
71,40899,"Eggs, bird, not in shell nes",7535,469,495
72,50210,"Bristles, hair and waste of pigs, hogs or boars",18293,997,1510
73,50300,Horsehair&waste put up or not as a layer with or without supg material,85248,3172,1428
74,51110,Semen bovine,1403705,30879,16135
75,160231,"Turkey meat and meat offal prepared or preserved, excluding livers",7919,734,718
76,160239,"Dom fowl,duck,goose&guinea fowl meat&meat offal prep/presvd exc livers",7919,734,718
77,160241,Hams and cuts thereof of swine prepared or preserved,8253,471,681
78,160242,Shoulders and cut thereof of swine prepared or preserved,7411,417,612
79,160249,"Swine meat&meat offal nes/exc livers/ incl mixtures,prepard o preservd",1796,98,148
80,160250,"Bovine meat and meat offal nes,excluding livers, prepared or preserved",22838,502,263
81,410110,"Bovine skins, whole, raw",8362,184,96
82,410121,"Bovine hides, whole, fresh or wet-salted",10453,242,120
83,410122,"Butts and bends, bovine, fresh or wet-salted",10453,242,120
84,410129,"Hide sections, bovine, nes, fresh or wet-salted",10453,242,120
85,410130,"Bovine hides, raw, nes",8362,184,96
86,410140,"Equine hides and skins, raw",17248,379,198
87,410210,"Sheep or lamb skins, raw, with wool on, nes",5174,129,7
88,410221,"Sheep or lamb skins, pickled, without wool on",5447,141,7
89,410229,"Sheep or lamb skins, raw, o/t pickled, without wool on",5447,141,7
90,410310,"Goat or kid hides and skins, raw, nes",8361,257,0
91,410410,"Bovine skin leather, whole",20905,535,240
92,410421,"Bovine leather, vegetable pre-tanned, nes",20905,525,240
93,410422,"Bovine leather, otherwise pre-tanned, nes",20905,505,240
94,410429,"Bovine and equine leather, tanned or retanned, nes",20905,505,240
95,410431,"Bovine and equine leather, full/split grains, nes",20905,545,240
96,410439,"Bovine and equine leather, nes",43121,1024,496
97,410511,"Sheep or lamb skin leather, vegetable pre-tanned",6052,179,8
98,410512,"Sheep or lamb skin leather, otherwise pre-tanned",6052,179,8
99,410519,"Sheep or lamb skin leather, tanned or retanned, nes",6052,179,8
100,410520,"Sheep or lamb skin leather, nes",6052,179,8
101,410611,"Goat or kid skin leather, vegetable pre-tanned",9290,308,0
102,410612,"Goat or kid skin leather, otherwise pre-tanned",9290,308,0
103,410619,"Goat or kid skin leather, tanned or retanned, nes",9290,308,0
104,410620,"Goat or kid skin leather, nes",9290,308,0
105,410710,"Swine leather, nes",24391,1329,2013
106,100110 / 100190,"Wheat (Durum wheat, Wheat nes and meslin)",1277.0,342.0,207.0
107,110100,Wheat or meslin flour,1292.0,347.0,210.0
108,110100a,Wheat bread,1124.0,301.0,183.0
109,110100b,Dry pasta,1292.0,347.0,210.0
110,110311,Wheat groats and meal,1423.0,382.0,231.0
111,110321,Wheat pellets,1423.0,382.0,231.0
112,110811,"Wheat, starch",1004.0,269.0,163.0
113,110900,"Wheat gluten, whether or not dried",2928.0,785.0,476.0
114,100610,Rice in the husk (paddy or rough),1146.0,341.0,187.0
115,100620,"Rice, husked (brown)",1488.0,443.0,242.0
116,100630,"Rice, semi-milled or wholly milled, whether or not polished or glazed",1653.0,492.0,269.0
117,100640,"Rice, broken",1710.0,509.0,278.0
118,110230,Rice flour,1800.0,535.0,293.0
119,110314,Rice groats and meal,1527.0,454.0,249.0
120,100300,Barley,1213.0,79.0,131.0
121,110411,"Barley, rolled or flaked grains",1685.0,110.0,182.0
122,110421,"Barley,hulled,pearled,sliced or kibbled",1685.0,110.0,182.0
123,110710,"Malt, not roasted",1662.0,108.0,180.0
124,110720,"Malt, roasted",2078.0,135.0,225.0
125,220300,Beer made from malt,254.0,16.0,27.0
126,1005,Maize (corn),947.0,81.0,194.0
127,100590,Maize (corn) nes,947.0,81.0,194.0
128,110220,Maize (corn) flour,971.0,83.0,199.0
129,110313,Maize (corn) groats and meal,837.0,72.0,171.0
130,110423,"Maize (corn), hulled, pearled, sliced or kibbled",1018.0,87.0,209.0
131,110812,Maize (corn) starch,1295.0,111.0,265.0
132,151521,Maize (corn) oil crude,1956.0,168.0,400.0
133,151529,"Maize (corn) oil and its fractions,refined but not chemically modified",1996.0,171.0,409.0
134,100200,Rye,1419.0,25.0,99.0
135,110210,Rye flour,1774.0,32.0,124.0
136,100400,Oats,1479.0,181.0,128.0
137,110312,Oat groats and meal,2098.0,257.0,182.0
138,110412,"Oats, rolled or flaked grains",1998.0,245.0,173.0
139,110422,"Oats, hulled,pearled,sliced or kibbled",2026.0,248.0,175.0
140,100820,Millet,4306.0,57.0,115.0
141,100700,Grain sorghum,2857.0,103.0,87.0
142,100810,Buckwheat,2769.0,144.0,229.0
143,100890ac,Quinoa,4184.0,48.0,280.0
144,100890ad,Fonio,4938.0,0,13.0
145,100890ae,Triticale,826.0,38.0,89.0
146,100830,Canary seed,4872.0,2.0,314.0
147,100890af,Mixed grain,1598.0,33.0,28.0
148,100890,Cereals unmilled nes,3316.0,115.0,9.0
149,110290,Cereal flour nes,3468.0,121.0,9.0
150,110319,Cereal groats and meal nes,2896.0,101.0,8.0
151,110329,Cereal pellets nes,2896.0,101.0,8.0
152,110419,"Cereals, rolled or flaked grains nes",3902.0,136.0,10.0
153,110429,"Cereals, hulled, pearled, sliced or kibbled nes",3902.0,136.0,10.0
154,110430,"Germ of cereals, whole, rolled, flaked or ground",2757.0,96.0,7.0
155,070190,"Potatoes, fresh or chilled nes",191.0,33.0,63.0
156,070190a,Tapioca of potatoes,955.0,165.0,317.0
157,071010,"Potatoes, frozen",382.0,66.0,127.0
158,110510,Potato flour and meal,955.0,165.0,317.0
159,110520,Potato flakes,694.0,120.0,230.0
160,110813,Potato starch,1005.0,173.0,333.0
161,071420,"Sweet potatoes, fresh or dried, whether or not sliced or pelleted",324.0,5.0,53.0
162,071410,"Manioc (cassava), fresh or dried, whether or not sliced or pelleted",550.0,0.0,13.0
163,071410a,Tapioca of cassava,2750.0,1.0,66.0
164,071410b,Flour of cassava,1833.0,1.0,44.0
165,071410c,Dried cassava,1571.0,1.0,38.0
166,110814,Manioc (cassava) starch,2200.0,1.0,53.0
167,071490ba,Yautia (cocoyam),849.0,22.0,11.0
168,071490_bb,Taro (coco yam),587.0,3.0,15.0
169,071490_a,Yams,341.0,0.0,1.0
170,070690,"Salad beetroot,salsif,celeriac,radish&sim edibl roots,fresh/chilld nes",348.0,15.0,22.0
171,071490,"Arrowroot,salep etc fr o drid whether o not slicd o pelletd&sago pith",348.0,15.0,22.0
172,071490_bc,Roots and tubers nes,348.0,15.0,22.0
173,110620,Flour&meal of sago&of roots or tubers with hi starch or inulin content,1392.0,61.0,88.0
174,121292,"Sugar cane, fresh or dried, whether or not ground",139.0,57.0,13.0
175,170111,"Raw sugar, cane",1107.0,455.0,104.0
176,170191,"Refined sugar,in solid form,containg added flavourg or colourg matter",1184.0,487.0,111.0
177,170199,"Refined sugar, in solid form, nes",1184.0,487.0,111.0
178,170220,Maple sugar and maple syrup,1184.0,487.0,111.0
179,170230,Glucose&glucose syrup nt cntg fruct/cntg in dry state <20% by wt fruct,1184.0,487.0,111.0
180,170240,Glucose inc syrup cntg in dry state min 20% but <50% by wt of fructose,1184.0,487.0,111.0
181,170250,"Fructose, chemically pure",1184.0,487.0,111.0
182,170260,"Fructose&fructose syrup nes,cntg in dry state >50% by wght of fructose",1184.0,487.0,111.0
183,170310,Cane molasses,350.0,144.0,33.0
184,121291,"Sugar beet, fresh or dried, whether or not ground",82.0,26.0,25.0
185,170112,"Raw sugar, beet",535.0,167.0,162.0
186,170390,Molasses nes,139.0,43.0,42.0
187,121299ab,"Sugar crops, nes",980.0,0,94.0
188,170290,"Sugar nes, including invert sugar",9795.0,0,935.0
189,071332,"Beans,small red (Adzuki) dried,shelled,whether or not skinned or split",3945.0,125.0,983.0
190,071333,"Kidney beans&white pea beans drid shelld,whether o not skinnd o split",3945.0,125.0,983.0
191,071339,"Beans dried, shelled, whether or not skinned or split, nes",3945.0,125.0,983.0
192,110610,Flour and meal of the dried leguminous vegetables of heading No 07.13,5479.0,173.0,1366.0
193,071350,"Broad beans&horse beans dried,shelled,whether or not skinned or split",1317.0,205.0,496.0
194,071310,"Peas dried, shelled, whether or not skinned or split",1453.0,33.0,493.0
195,071320,"Chickpeas, dried, shelled, whether or not skinned or split",2972.0,224.0,981.0
196,07133_b,"Cow peas, dry",6841.0,10.0,55.0
197,071390aa,Pigeon peas,4739.0,72.0,683.0
198,071340,"Lentils dried, shelled, whether or not skinned or split",4324.0,489.0,1060.0
199,071390ad,Bambara beans,3162.0,71.0,34.0
200,071390ac,Vetches,2031.0,109.0,213.0
201,071390ab,Lupins,1350.0,21.0,506.0
202,071331,"Urd,mung,black/green gram beans drid shelld,whether/not skinnd/split",2217.0,250.0,650.0
203,071390ae,Pulses nes,2217.0,250.0,650.0
204,080121,"Brazil nuts, with shell",248.0,0,8.0
205,080131_a,Cashew nuts,12853.0,921.0,444.0
206,080240,"Chestnuts, fresh or dried, whether or not shelled or peeled",2432.0,174.0,144.0
207,080211,Almonds in shell fresh or dried,4632.0,1908.0,1507.0
208,080212,"Almonds,fresh or dried,shelled or peeled",9264.0,3816.0,3015.0
209,080231,"Walnuts in shell, fresh or dried",2805.0,1299.0,814.0
210,080232,"Walnuts, fresh or dried, shelled or peeled",5293.0,2451.0,1536.0
211,080250,"Pistachios, fresh or dried, whether or not shelled or peeled",3095.0,7602.0,666.0
212,080290aa,Kolanuts,23345.0,26.0,19.0
213,080221,Hazelnuts or filberts in shell fresh or dried,3813.0,1090.0,354.0
214,080222,"Hazelnuts or filberts, fresh or dried, shelled or peeled",7627.0,2180.0,709.0
215,080290ab,Arecanuts,10621.0,139.0,406.0
216,080290,"Nuts edible, fresh or dried, whether or not shelled or peeled, nes",8379.0,1156.0,891.0
217,120100,Soya beans,2037.0,70.0,37.0
218,120100a,Soya sauce,582.0,20.0,11.0
219,120100b,Soya curd (tofu),543.0,19.0,10.0
220,120100d,soybean ingredient into the soymilk,3574.0,123.0,65.0
221,120100e,Soy burger,3574.0,123.0,65.0
222,120810,Soya bean flour and meals,2397.0,83.0,44.0
223,150710,"Soya-bean oil crude, whether or not degummed",3900.0,135.0,71.0
224,150790,"Soya-bean oil and its fractions, refined but not chemically modified",3980.0,137.0,73.0
225,230400,"Soya-bean oil-cake&oth solid residues,whether or not ground or pellet",1690.0,58.0,31.0
226,120210,Ground-nuts in shell not roasted or otherwise cooked,2469.0,150.0,163.0
227,120220,"Ground-nuts shelld,whether or not broken,not roastd or otherwise cookd",3526.0,214.0,234.0
228,150810,"Ground-nut oil, crude",6547.0,397.0,434.0
229,150890,Ground-nut oil and its fractions refined but not chemically modified,6681.0,405.0,442.0
230,230500,"Ground-nut oil-cake&oth solid residues,whether or not ground or pellet",1317.0,80.0,87.0
231,080119,Coconuts,2669.0,2.0,16.0
232,120300,Copra,2079.0,1.0,12.0
233,120300a,Coconut (husked),1248.0,1.0,7.0
234,151311,Coconut (copra) oil crude,4372.0,3.0,26.0
235,151319,Coconut (copra) oil&its fractions refined but not chemically modified,4461.0,3.0,27.0
236,230650,"Coconut/copra oil-cake&oth solid residues,whether/not ground/pellet",829.0,1.0,5.0
237,530511,"Coconut (coir) fibre, raw",3245.0,2.0,19.0
238,530519,"Coconut (coir) fibre,processd nt spun;tow,noils&waste of coconut fib",2434.0,2.0,15.0
239,120710,"Palm nuts and kernels, whether or not broken",2762.0,1.0,105.0
240,120710ab,Oil palm fruit,1057.0,0.0,40.0
241,151110,"Palm oil, crude",4691.0,1.0,179.0
242,151190,Palm oil and its fractions refined but not chemically modified,4787.0,1.0,182.0
243,151321,"Palm kernel or babassu oil, crude",5098.0,1.0,194.0
244,151329,"Palm kernel/babassu oil their fract,refind but not chemically modifid",5202.0,1.0,198.0
245,230660,"Palm nut/kernel oil-cake&oth solid residues,whether/not ground/pellet",802.0,0.0,31.0
246,070990aa,Olives,2470.0,499.0,45.0
247,071120,"Olives,provisionally preservd but nt suitable f immediate consumption",2470.0,499.0,45.0
248,150910,"Olive oil, virgin",11826.0,2388.0,217.0
249,150990,Olive oil and its fractions refined but not chemically modified,12067.0,2437.0,221.0
250,151000,"Oils&thr fract nes obt from olives,ref'd/not,not chem mod,incl blends",5260.0,1062.0,96.0
251,120730,"Castor oil seeds, whether or not broken",8423.0,1175.0,298.0
252,151530,"Castor oil&its fractions,whether/not refind,but not chemically modifid",21058.0,2938.0,744.0
253,120600,"Sunflower seeds, whether or not broken",3017.0,148.0,201.0
254,151211,"Sunflower-seed or safflower oil, crude",5967.0,293.0,397.0
255,151219,Sunflower-sed/safflower oil&their fractions refind but nt chem modifid,6088.0,299.0,405.0
256,230630,"Sunflower sed oil-cake&oth solid residues,whether/not ground/pellet",1215.0,60.0,81.0
257,120500,"Rape or colza seeds, whether or not broken",1703.0,231.0,336.0
258,151410,"Rape, colza or mustard oil crude",3162.0,429.0,624.0
259,151490,"Rape,colza o mustard oil&their fract,refind but not chemically modifid",3226.0,438.0,636.0
260,230640,"Rape/colza sed oil-cake&oth solid residues,whether/not ground/pellet",837.0,114.0,165.0
261,120760,"Safflower seeds, whether or not broken",6000.0,938.0,283.0
262,120740,"Sesamum seeds, whether or not broken",8460.0,509.0,403.0
263,151550,"Sesame oil&its fractions whether/not refind,but not chemically modifid",19674.0,1183.0,936.0
264,120750,"Mustard seeds, whether or not broken",2463.0,1.0,345.0
265,120791,"Poppy seeds, whether or not broken",1723.0,0,464.0
266,12079ab,Melonseed,5087.0,56.0,41.0
267,120720a,Seed cotton,2282.0,1306.0,440.0
268,120720,"Cotton seeds, whether or not broken",755.0,432.0,146.0
269,120720b,Cotton lint,5163.0,2955.0,996.0
270,140420,Cotton linters,1474.0,844.0,284.0
271,151221,"Cotton-seed oil crude, whether or not gossypol has been removed",2242.0,1283.0,432.0
272,151229,Cotton-seed and its fractions refined but not chemically modified,2242.0,1283.0,432.0
273,230610,"Cotton sed oil-cake&oth solid residues,whether or not ground or pellet",487.0,279.0,94.0
274,520100,"Cotton, not carded or combed",5163.0,2955.0,996.0
275,520210,Cotton yarn waste (including thread waste),950.0,544.0,183.0
276,520291,Garnetted stock of cotton,1426.0,816.0,275.0
277,520299,"Cotton waste, nes",1677.0,960.0,323.0
278,520300,"Cotton, carded or combed",5359.0,3067.0,1034.0
279,520511,Cotton fabric and finished textiles,5384.0,3253.0,1344.0
280,120400,"Linseed, whether or not broken",4730.0,268.0,170.0
281,151511,"Linseed oil, crude",8445.0,478.0,303.0
